Business Name,TPIN,Registration Number,Province
Davidson Inc,02381177504,REG0551,Eastern
Roberts-Harrington,03778963589,REG0552,Luapula
Ray and Sons,01941736966,REG0553,Central
Paul and Sons,06304507752,REG0554,Northern
"Johnson, Schultz and Campbell",03342547086,REG0555,Luapula
Peters PLC,10522208284,REG0556,Copperbelt
"Alexander, Sparks and Boyd",09784378077,REG0557,Western
"Wilson, Conley and Zuniga",07848950229,REG0558,North-Western
"Simmons, Stone and Stewart",07996894067,REG0559,North-Western
"Taylor, Spence and Camacho",06963236151,REG0560,Northern
Griffith and Sons,10928619402,REG0561,Copperbelt
Pollard and Sons,07590446839,REG0562,North-Western
Bradford Inc,06153866778,REG0563,Northern
Mccormick-Jackson,06902929521,REG0564,Northern
Sanchez-Alexander,07899188594,REG0565,North-Western
Scott-Mullen,04285473276,REG0566,Lusaka
Gomez-Fleming,04926609518,REG0567,Lusaka
Fuller Ltd,06250971068,REG0568,Northern
"Wright, Bell and Schultz",10114122053,REG0569,Copperbelt
Matthews Inc,10702149033,REG0570,Copperbelt
"Archer, Blanchard and Lawrence",04527152522,REG0571,Lusaka
Jones-Robinson,02669431873,REG0572,Eastern
Mitchell LLC,06163901435,REG0573,Northern
Luna-Allen,07811323442,REG0574,North-Western
Tran LLC,05795190037,REG0575,Muchinga
"Ellis, Hunter and Watson",02303627596,REG0576,Eastern
Rodgers LLC,06753976223,REG0577,Northern
"Foster, Hoffman and Contreras",09196553883,REG0578,Western
Daniels Group,06443187751,REG0579,Northern
Hansen-Brock,02338094219,REG0580,Eastern
Morton Inc,04895320551,REG0581,Lusaka
Morrow-Jones,05578270772,REG0582,Muchinga
Coleman-Perez,05281833019,REG0583,Muchinga
Harvey and Sons,05581161486,REG0584,Muchinga
Roach-Robinson,09790720535,REG0585,Western
Horn-Williams,10643615975,REG0586,Copperbelt
Vazquez and Sons,05562555042,REG0587,Muchinga
Smith PLC,09833458941,REG0588,Western
"Morrow, Escobar and Vaughn",09787178680,REG0589,Western
Barrera and Sons,06941020957,REG0590,Northern
Melendez Inc,06746180838,REG0591,Northern
Williamson Group,06991552736,REG0592,Northern
Villa Inc,08647842521,REG0593,Southern
Fernandez-Ray,08386146555,REG0594,Southern
Thompson-Cline,03521628770,REG0595,Luapula
Rodriguez-Gonzalez,09965689404,REG0596,Western
Harding-Walker,05556740876,REG0597,Muchinga
"Fernandez, Liu and Beltran",03910227827,REG0598,Luapula
Hall-Calhoun,07122684535,REG0599,North-Western
Mcneil-Davis,06575823802,REG0600,Northern
Cox-Ward,08775594160,REG0601,Southern
Kirk-Holder,10680348342,REG0602,Copperbelt
"Wallace, Riggs and Meadows",02650078957,REG0603,Eastern
Owens and Sons,01131907112,REG0604,Central
"Young, Yates and Yang",03311051139,REG0605,Luapula
"Taylor, Mitchell and Burns",08462538190,REG0606,Southern
Sims and Sons,02506303249,REG0607,Eastern
Ellis-Good,06992367747,REG0608,Northern
"Lopez, Nelson and Pena",06224108698,REG0609,Northern
Fisher-Jones,07954450717,REG0610,North-Western
Schultz-Mora,06871635043,REG0611,Northern
"Hays, Townsend and Jones",08765719448,REG0612,Southern
Carroll LLC,09466305637,REG0613,Western
Pruitt-Adams,05349498733,REG0614,Muchinga
"Smith, Reid and Woods",07778115099,REG0615,North-Western
Russell Ltd,06810889052,REG0616,Northern
Nelson and Sons,01893607240,REG0617,Central
Allen-Anderson,04969287295,REG0618,Lusaka
Goodman-Cochran,04620556960,REG0619,Lusaka
Smith-Novak,02350734919,REG0620,Eastern
"Lewis, Conway and Shepherd",02434223073,REG0621,Eastern
"Hayes, Morgan and Blackwell",09333741070,REG0622,Western
Wood Ltd,01477615551,REG0623,Central
Rodriguez-Delacruz,01615748955,REG0624,Central
Rogers PLC,06198512220,REG0625,Northern
Torres LLC,03927051320,REG0626,Luapula
Peck-Smith,03183797779,REG0627,Luapula
Fisher and Sons,03445158402,REG0628,Luapula
Payne-Thompson,02868634942,REG0629,Eastern
Mccarthy Inc,01920293525,REG0630,Central
Moore Ltd,10404441836,REG0631,Copperbelt
Lloyd PLC,03545940289,REG0632,Luapula
Bailey-Smith,04747876324,REG0633,Lusaka
"Delacruz, Herrera and Mendez",06123464346,REG0634,Northern
Harris Ltd,02105713051,REG0635,Eastern
Mendez PLC,08579813496,REG0636,Southern
James Ltd,10884455288,REG0637,Copperbelt
"Hawkins, Wiggins and Gutierrez",01728968563,REG0638,Central
Potter Ltd,08260020830,REG0639,Southern
Lopez PLC,01560979579,REG0640,Central
Decker Inc,02166342169,REG0641,Eastern
Harris-Franklin,04642437167,REG0642,Lusaka
Bean-Porter,02740877302,REG0643,Eastern
"Barnes, Watkins and Woods",03787789135,REG0644,Luapula
Schultz LLC,07311318524,REG0645,North-Western
Davis-Pittman,04336341172,REG0646,Lusaka
Scott-Peterson,07389951323,REG0647,North-Western
Wong Inc,09160920045,REG0648,Western
"Guerra, Dorsey and Kennedy",06290840766,REG0649,Northern
Pierce-Alexander,09952519953,REG0650,Western
Vaughn LLC,08939383073,REG0651,Southern
Cox PLC,10261172304,REG0652,Copperbelt
Cooper-Brooks,03271316450,REG0653,Luapula
Davis-Castillo,09928523143,REG0654,Western
"Torres, Drake and Williams",07310827714,REG0655,North-Western
Richardson PLC,02430910671,REG0656,Eastern
Booth and Sons,01220439533,REG0657,Central
Carter Inc,01591762980,REG0658,Central
King-Martinez,06730830484,REG0659,Northern
Cox-Barker,09341344801,REG0660,Western
"Patterson, Hess and Reese",08266836011,REG0661,Southern
Espinoza Ltd,03778261248,REG0662,Luapula
Stone Group,08153049139,REG0663,Southern
Jones-Harrison,06851606589,REG0664,Northern
"Lewis, Thompson and Perez",01435568749,REG0665,Central
Robbins Ltd,04312962421,REG0666,Lusaka
Williams-Brooks,06939870680,REG0667,Northern
"Carrillo, Lynch and Jackson",04648915570,REG0668,Lusaka
"Gray, Leblanc and Warren",06965878562,REG0669,Northern
Ryan Inc,01981052810,REG0670,Central
"Rivera, Hall and Richards",05250466762,REG0671,Muchinga
"Coleman, Reid and Duncan",07537259916,REG0672,North-Western
Freeman-Carrillo,03166849353,REG0673,Luapula
"Norris, Brown and Brown",03466612569,REG0674,Luapula
"Jackson, Sanchez and Sexton",01399880570,REG0675,Central
Ellis-Lin,08347440704,REG0676,Southern
"Alexander, Brennan and May",02133017976,REG0677,Eastern
"Kelly, Blackburn and Terry",05223195345,REG0678,Muchinga
Lyons Ltd,09383717016,REG0679,Western
Whitaker and Sons,02198226892,REG0680,Eastern
Garrett-Cross,09478513724,REG0681,Western
"Reynolds, Chapman and Martin",09664817279,REG0682,Western
Russell PLC,06169416629,REG0683,Northern
Ryan-Davis,05964400345,REG0684,Muchinga
Howard and Sons,06130355655,REG0685,Northern
"Williams, Thompson and Hart",02120557196,REG0686,Eastern
"Davidson, Fitzgerald and Martin",01383244030,REG0687,Central
Smith Ltd,01820356588,REG0688,Central
"Barnes, Hood and Campos",08801399308,REG0689,Southern
"Ryan, Oliver and Rodgers",06132740269,REG0690,Northern
"Grant, Rodriguez and Heath",09911130046,REG0691,Western
Carroll-Torres,02313025653,REG0692,Eastern
Thompson PLC,06484037515,REG0693,Northern
Morris-Marshall,01385438388,REG0694,Central
"Davis, Bowers and Bentley",03904589311,REG0695,Luapula
Holmes-Garrett,05282491110,REG0696,Muchinga
"Warren, Burnett and Day",08951040544,REG0697,Southern
"Lee, Bailey and Sparks",06847343600,REG0698,Northern
"Carey, Farley and Mitchell",09333235197,REG0699,Western
"White, Nguyen and Rodriguez",05800993396,REG0700,Muchinga
George-Fleming,01779680273,REG0701,Central
Atkins-Thomas,09745846664,REG0702,Western
Spears Inc,01602000681,REG0703,Central
Johnson Group,09610492284,REG0704,Western
Phillips LLC,08436417846,REG0705,Southern
Wheeler-Gates,06852946051,REG0706,Northern
"Bryant, Johnson and Cisneros",02430116339,REG0707,Eastern
"Thomas, Taylor and Hughes",01772120921,REG0708,Central
"Roberts, Hines and Fuentes",07659175910,REG0709,North-Western
"Larsen, Morris and Rose",05514673870,REG0710,Muchinga
"Stephens, Butler and Gonzalez",09698575334,REG0711,Western
Elliott-Shelton,10594632111,REG0712,Copperbelt
Fisher PLC,10876554619,REG0713,Copperbelt
Johnson-Wells,09895898757,REG0714,Western
"Morris, Gordon and Lowe",06333482915,REG0715,Northern
Ross Ltd,01474089874,REG0716,Central
Shaw-Mitchell,10202307573,REG0717,Copperbelt
Hoffman PLC,09309597079,REG0718,Western
"Prince, Pena and Brown",10129527955,REG0719,Copperbelt
Lee-Lin,06745251325,REG0720,Northern
"Green, Mosley and Perkins",09906480293,REG0721,Western
Pratt Ltd,07113280973,REG0722,North-Western
"Martinez, King and Garcia",07788022499,REG0723,North-Western
"Ortiz, Mercer and Delgado",05303074187,REG0724,Muchinga
Larson-Lynch,08444128887,REG0725,Southern
"Skinner, Bryan and Hale",09991719265,REG0726,Western
Bennett and Sons,08664460187,REG0727,Southern
Rivera-Graham,04689411768,REG0728,Lusaka
Reid Group,05632276288,REG0729,Muchinga
"Farmer, Williams and English",07251647463,REG0730,North-Western
"Jones, Burns and Fisher",05738541334,REG0731,Muchinga
"Patel, Green and Franco",10146941282,REG0732,Copperbelt
Hendrix Inc,06790930502,REG0733,Northern
"Benitez, Lee and Brooks",08597947588,REG0734,Southern
Wolf PLC,03874282937,REG0735,Luapula
"Allen, Castaneda and Barron",04485474706,REG0736,Lusaka
Rojas-Ellison,06237435674,REG0737,Northern
Gonzales and Sons,03605068906,REG0738,Luapula
"Howell, Williams and Williams",10123428235,REG0739,Copperbelt
Fischer-Manning,06358488788,REG0740,Northern
Campbell-Garcia,03785696773,REG0741,Luapula
Cross-Hernandez,06764770321,REG0742,Northern
"Dominguez, Golden and Adkins",08186002205,REG0743,Southern
Miller-Clark,06802749548,REG0744,Northern
"Thomas, Mccormick and Walker",06834094081,REG0745,Northern
"Eaton, Wright and Johnson",03963869983,REG0746,Luapula
Mack LLC,03947309106,REG0747,Luapula
Rodriguez-White,02104030389,REG0748,Eastern
Berg-Blackwell,08877177541,REG0749,Southern
Phillips-Yoder,05224756422,REG0750,Muchinga
Thomas-Adams,05182698245,REG0751,Muchinga
"Campbell, Wallace and Daniels",05596919029,REG0752,Muchinga
Vega Group,06810546562,REG0753,Northern
Kelly PLC,07840091818,REG0754,North-Western
"Smith, Bailey and Carter",01492137195,REG0755,Central
"Gray, Riddle and Ross",05182787721,REG0756,Muchinga
Ross Group,03872222240,REG0757,Luapula
"Jones, Simmons and Rivera",02528925264,REG0758,Eastern
Johnson-Townsend,04577714642,REG0759,Lusaka
"Powell, Ruiz and Brown",06828996577,REG0760,Northern
Nguyen Group,04248904780,REG0761,Lusaka
Mayer-Long,04564882901,REG0762,Lusaka
Irwin-Marshall,10987220932,REG0763,Copperbelt
Harris PLC,01653305573,REG0764,Central
Davis Inc,04294724448,REG0765,Lusaka
"Jacobs, Barker and Fox",07275956990,REG0766,North-Western
"Roberts, King and Campos",04463933286,REG0767,Lusaka
"Cox, Griffin and Young",09902619970,REG0768,Western
"French, Weber and Martinez",07154942373,REG0769,North-Western
White-Brown,01454974529,REG0770,Central
Joyce-Bennett,03351489664,REG0771,Luapula
Price Ltd,03139266014,REG0772,Luapula
Stevens-Lee,05148915032,REG0773,Muchinga
Meyer PLC,04567283321,REG0774,Lusaka
Hall-Russell,06427794181,REG0775,Northern
Hall PLC,07611779860,REG0776,North-Western
"Brown, Anderson and Villa",04133116378,REG0777,Lusaka
Williams Inc,03327937812,REG0778,Luapula
"Rodriguez, Gregory and Lane",07397411488,REG0779,North-Western
"Salazar, Taylor and Hall",04674868008,REG0780,Lusaka
Parker-Taylor,10838246008,REG0781,Copperbelt
Murphy Group,03577430748,REG0782,Luapula
Powers and Sons,05797245774,REG0783,Muchinga
Morris-Frost,04776598709,REG0784,Lusaka
Russell PLC,01973807633,REG0785,Central
Davis-Jones,10305076734,REG0786,Copperbelt
Vaughn-Johnson,05788241964,REG0787,Muchinga
Walker Ltd,05684266661,REG0788,Muchinga
Williams and Sons,05286970618,REG0789,Muchinga
Williams and Sons,01817108799,REG0790,Central
Benjamin Ltd,02610546577,REG0791,Eastern
"Leonard, Turner and Vance",04331064071,REG0792,Lusaka
Howe LLC,03537162733,REG0793,Luapula
Leonard Inc,02272528275,REG0794,Eastern
Shaw Inc,07115553547,REG0795,North-Western
Dennis-Davis,06280995257,REG0796,Northern
Mejia PLC,01125351389,REG0797,Central
Norris Group,01629100015,REG0798,Central
Porter-Parks,09829475194,REG0799,Western
Gallegos-Gonzales,09749077210,REG0800,Western
Walton PLC,06162969705,REG0801,Northern
"Osborne, Mitchell and Navarro",05849445966,REG0802,Muchinga
Burnett-Shepherd,04617571406,REG0803,Lusaka
Mills Group,01317550427,REG0804,Central
"Watson, Martin and Wood",01129881970,REG0805,Central
"Williams, Hardin and White",06858634939,REG0806,Northern
Terry-Reid,08646941313,REG0807,Southern
Gonzales Inc,06952975354,REG0808,Northern
Hardy-Wilson,03523891035,REG0809,Luapula
Rodriguez-Allen,10575474737,REG0810,Copperbelt
Mcdowell Inc,02742885633,REG0811,Eastern
"Thomas, Ramirez and Mitchell",05271814520,REG0812,Muchinga
Spencer and Sons,07900270923,REG0813,North-Western
Hood-Ortega,03295865608,REG0814,Luapula
"Prince, Adkins and Lucas",02545227203,REG0815,Eastern
Howe and Sons,02358304213,REG0816,Eastern
Smith Group,10678297193,REG0817,Copperbelt
Combs Group,04473219883,REG0818,Lusaka
Nelson Ltd,03276227469,REG0819,Luapula
Berry-Nguyen,10779441269,REG0820,Copperbelt
Reese-Thomas,07521304610,REG0821,North-Western
Doyle-Reyes,09927603855,REG0822,Western
Berry-Henderson,06200537468,REG0823,Northern
"Jennings, Keller and Pearson",03368062350,REG0824,Luapula
Smith Inc,03567202674,REG0825,Luapula
"Lopez, Ramirez and Garcia",06749134221,REG0826,Northern
Downs-Green,03798097597,REG0827,Luapula
"Cooke, Cox and Lynch",04802371641,REG0828,Lusaka
Wilson-Fleming,10945251960,REG0829,Copperbelt
Johnson PLC,05130392959,REG0830,Muchinga
Hamilton-Wong,09633650190,REG0831,Western
Griffith-Cook,02804702772,REG0832,Eastern
"Gomez, Ayala and Bonilla",06373975935,REG0833,Northern
"Castillo, Lopez and Williams",04119088834,REG0834,Lusaka
"Alexander, Perry and Hernandez",04558893979,REG0835,Lusaka
"Holland, Mccarthy and Harrison",04562181044,REG0836,Lusaka
Anderson Inc,10493239922,REG0837,Copperbelt
Green-Bowers,03681002965,REG0838,Luapula
Mcknight Group,01669827215,REG0839,Central
Ellis-Simmons,06880339878,REG0840,Northern
Jones-Koch,08977292274,REG0841,Southern
"Wallace, Duarte and Wilkerson",05590491063,REG0842,Muchinga
Whitney LLC,07794837193,REG0843,North-Western
Davis LLC,06219844836,REG0844,Northern
Thomas-Williams,03369594680,REG0845,Luapula
"Williams, Walsh and Garcia",02353856262,REG0846,Eastern
Gonzalez-Nelson,06979741022,REG0847,Northern
Long PLC,09497040954,REG0848,Western
Moore LLC,09772936252,REG0849,Western
"Brewer, May and Hurley",10614570777,REG0850,Copperbelt
"Reed, Parker and Hanson",10734134995,REG0851,Copperbelt
Foster-Hebert,10786639389,REG0852,Copperbelt
Smith and Sons,10721874864,REG0853,Copperbelt
Duran and Sons,09275385187,REG0854,Western
Williams Group,09819464744,REG0855,Western
Brown LLC,02621439736,REG0856,Eastern
Aguilar-Martinez,05334157579,REG0857,Muchinga
Mitchell Ltd,03442738774,REG0858,Luapula
Sparks Inc,10818244158,REG0859,Copperbelt
Smith-Baker,04330318010,REG0860,Lusaka
Mora-Rodriguez,02700087005,REG0861,Eastern
Lucas Group,07607077510,REG0862,North-Western
Lowe-Stephens,03300401556,REG0863,Luapula
"Burns, Cox and Simpson",03639283959,REG0864,Luapula
Ford PLC,01407775074,REG0865,Central
Jackson-Nelson,06691613298,REG0866,Northern
"Martin, Butler and Powers",04774265164,REG0867,Lusaka
"Williams, Shannon and Woods",06683607281,REG0868,Northern
Wilson and Sons,03734512599,REG0869,Luapula
James Inc,04332850047,REG0870,Lusaka
Blair and Sons,04470899928,REG0871,Lusaka
Weiss Inc,02554959700,REG0872,Eastern
"Wheeler, Sandoval and Conway",10358167155,REG0873,Copperbelt
Williams-Wolfe,04483364711,REG0874,Lusaka
Frazier and Sons,04236385929,REG0875,Lusaka
"Munoz, Rodgers and Oconnor",05928189440,REG0876,Muchinga
Williams-Fletcher,07266711246,REG0877,North-Western
Robles PLC,10501731881,REG0878,Copperbelt
Mccarthy Ltd,06868281352,REG0879,Northern
Ramos-Rios,09207900671,REG0880,Western
Gibbs-Jones,05941159870,REG0881,Muchinga
Brown-Walker,08618199647,REG0882,Southern
"White, Allen and Phelps",01103705583,REG0883,Central
Woods Inc,01194296258,REG0884,Central
Wilson Ltd,10691927188,REG0885,Copperbelt
Turner Inc,09309064809,REG0886,Western
Saunders-Montgomery,02464825341,REG0887,Eastern
Vincent and Sons,05444833154,REG0888,Muchinga
Stone-Lynch,02281242183,REG0889,Eastern
Ray Inc,04426048203,REG0890,Lusaka
"Smith, Woods and Patterson",05910041218,REG0891,Muchinga
Figueroa PLC,09295970678,REG0892,Western
Boyd-Black,08671997777,REG0893,Southern
Pratt Ltd,07848476501,REG0894,North-Western
Henry-Gonzalez,08729013472,REG0895,Southern
Humphrey LLC,09442312803,REG0896,Western
Decker-Bailey,03938953695,REG0897,Luapula
Hernandez-Diaz,04729837998,REG0898,Lusaka
Martin Group,01973086527,REG0899,Central
Perez LLC,05338199056,REG0900,Muchinga
Sanders Ltd,09873606366,REG0901,Western
Lewis-Alvarez,08773357915,REG0902,Southern
Macias and Sons,10144308637,REG0903,Copperbelt
"Brown, Lucas and Rowe",06518214672,REG0904,Northern
Perez-Morales,02688219567,REG0905,Eastern
"Lopez, James and Turner",08945459918,REG0906,Southern
"Morales, Davis and Dawson",02373843787,REG0907,Eastern
"Thompson, Solomon and Smith",02760579781,REG0908,Eastern
"Chung, Arnold and Taylor",01229589204,REG0909,Central
Johnson-Smith,02978789679,REG0910,Eastern
Campbell-Lawrence,10365085135,REG0911,Copperbelt
Hall-Flores,07140944865,REG0912,North-Western
Aguirre-Williamson,07366479404,REG0913,North-Western
"Robinson, Rowe and Carr",03757259494,REG0914,Luapula
Bryan-Sutton,05925397545,REG0915,Muchinga
Reid and Sons,01715293509,REG0916,Central
Cantrell LLC,10835751775,REG0917,Copperbelt
"Edwards, Bradley and Cline",02244394572,REG0918,Eastern
"Gross, Gardner and Rogers",02848182635,REG0919,Eastern
Thomas-Thomas,03831185675,REG0920,Luapula
Love-Johnson,10865514604,REG0921,Copperbelt
James Ltd,05608067372,REG0922,Muchinga
Barrett LLC,06572010763,REG0923,Northern
Christensen LLC,03747347973,REG0924,Luapula
Lowe Inc,01803539100,REG0925,Central
Reed Group,02904408184,REG0926,Eastern
Erickson-Herman,08619519060,REG0927,Southern
Small and Sons,08161463279,REG0928,Southern
"White, Griffith and Wright",10374917822,REG0929,Copperbelt
West LLC,04391520287,REG0930,Lusaka
"Myers, Webb and Butler",04589325053,REG0931,Lusaka
Turner and Sons,03513933791,REG0932,Luapula
Black Inc,03177710361,REG0933,Luapula
Rogers Group,04608838388,REG0934,Lusaka
"Jimenez, Hendrix and Daniel",03538133172,REG0935,Luapula
"Anderson, Cummings and Murray",01644344073,REG0936,Central
Gibson and Sons,01113177246,REG0937,Central
Daniels-Cross,10494131092,REG0938,Copperbelt
Simon Inc,05863589565,REG0939,Muchinga
Rodriguez Inc,09127217254,REG0940,Western
Horn-Hensley,03990142473,REG0941,Luapula
Kane-Wilson,06826224855,REG0942,Northern
"Hernandez, Holloway and Reid",03184917365,REG0943,Luapula
"Christian, Thomas and Harper",10873976664,REG0944,Copperbelt
"Jordan, Serrano and Martin",02797532741,REG0945,Eastern
Jackson-Kelley,02752508681,REG0946,Eastern
Pearson Inc,07842702607,REG0947,North-Western
Rodriguez LLC,06573392631,REG0948,Northern
Miller-Bowman,06546580116,REG0949,Northern
Nunez PLC,07141633950,REG0950,North-Western
"Pittman, Frazier and Evans",03532045913,REG0951,Luapula
"Lee, Johnson and Russell",01370370839,REG0952,Central
Craig Inc,03486556252,REG0953,Luapula
Dunlap-Dickerson,02987005562,REG0954,Eastern
"Lewis, Bennett and Clayton",08527938185,REG0955,Southern
Hill-Wilson,08736581676,REG0956,Southern
Young-Wood,04543065839,REG0957,Lusaka
Young Ltd,05426526652,REG0958,Muchinga
"Campos, Cooper and Jones",06574575932,REG0959,Northern
Nguyen PLC,07323444677,REG0960,North-Western
Hinton PLC,03576829870,REG0961,Luapula
Gilbert PLC,04119719644,REG0962,Lusaka
Blake Group,05535921355,REG0963,Muchinga
"Williams, Potts and Rodriguez",06913285816,REG0964,Northern
"Hawkins, King and Thomas",05732243785,REG0965,Muchinga
Pena PLC,07635589688,REG0966,North-Western
Grant-Hoover,02728748437,REG0967,Eastern
"Mccoy, Hawkins and Wright",04936070537,REG0968,Lusaka
"Thompson, Lopez and White",04371852734,REG0969,Lusaka
Arroyo-Bryant,02606791507,REG0970,Eastern
Goodwin PLC,03230294263,REG0971,Luapula
"Reyes, Williams and Rivas",09483219948,REG0972,Western
Carlson Ltd,07961677077,REG0973,North-Western
"Smith, Hall and Aguilar",01764978921,REG0974,Central
Crawford Group,03326099323,REG0975,Luapula
Kramer-Smith,06943135897,REG0976,Northern
Williams-Jenkins,10373215790,REG0977,Copperbelt
Hall-Ramsey,02544957599,REG0978,Eastern
Ruiz-Evans,09612415610,REG0979,Western
"Henson, Thompson and Holland",05889193865,REG0980,Muchinga
Bowers-Garrett,05544785831,REG0981,Muchinga
"Robinson, Moreno and Reed",03912094099,REG0982,Luapula
"Hamilton, Pittman and Hughes",08755266179,REG0983,Southern
"Bradford, Burns and Hughes",01391691651,REG0984,Central
Lynch-Ramirez,03299010858,REG0985,Luapula
"Gordon, Mercado and Morales",01734111050,REG0986,Central
"Reid, Peters and Carter",08996302117,REG0987,Southern
Harrison-Arnold,04428296278,REG0988,Lusaka
Martinez PLC,09338319871,REG0989,Western
Huerta and Sons,04140793412,REG0990,Lusaka
Miller LLC,05898669326,REG0991,Muchinga
Thomas Ltd,06541133393,REG0992,Northern
"Diaz, Huffman and Wolfe",04470801216,REG0993,Lusaka
Hardin and Sons,01476688583,REG0994,Central
Rodriguez Inc,02155224199,REG0995,Eastern
Lynch-Johnson,01729821652,REG0996,Central
Atkinson Inc,01507644317,REG0997,Central
"Sosa, Hawkins and Williams",02232000347,REG0998,Eastern
"Velazquez, Weber and Hernandez",01554159127,REG0999,Central
Nelson-Hooper,07167016496,REG1000,North-Western
